Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
Nigeria,Market Average,Market Average,rice,01/07/2015,10005.95,10278.86,9832.25,10278.86,NGN
Nigeria,Market Average,Market Average,rice,01/08/2015,10344.25,10540.24,10148.26,10474.17,NGN
Nigeria,Market Average,Market Average,rice,01/09/2015,10593.92,10764.73,10423.11,10491.23,NGN
Nigeria,Market Average,Market Average,rice,01/10/2015,10530.03,10682.07,10377.99,10457.4,NGN
Nigeria,Market Average,Market Average,rice,01/11/2015,10481.62,10620.16,10343.08,10427.18,NGN
Nigeria,Market Average,Market Average,rice,01/12/2015,10443.29,10573.56,10313.02,10422.78,NGN
Nigeria,Market Average,Market Average,rice,01/01/2016,10457.16,10581.69,10332.64,10510.79,NGN
Nigeria,Market Average,Market Average,rice,01/02/2016,10553.57,10678.67,10428.47,10541.67,NGN
Nigeria,Market Average,Market Average,rice,01/03/2016,10593.68,10950.56,10470.79,10950.56,NGN
Nigeria,Market Average,Market Average,rice,01/04/2016,11056.06,11286.56,10844.53,11286.56,NGN
Nigeria,Market Average,Market Average,rice,01/05/2016,11448.06,11652.91,11243.2,11475.96,NGN
Nigeria,Market Average,Market Average,rice,01/06/2016,11576.4,12869.41,11406.62,12869.41,NGN
Nigeria,Market Average,Market Average,rice,01/07/2016,13174.59,15742.27,12599.6,15742.27,NGN
Nigeria,Market Average,Market Average,rice,01/08/2016,16316.44,17047.16,15585.72,16370.67,NGN
Nigeria,Market Average,Market Average,rice,01/09/2016,16743.34,17265.33,16221.35,16513.42,NGN
Nigeria,Market Average,Market Average,rice,01/10/2016,16668.49,17058.87,16278.11,16810.09,NGN
Nigeria,Market Average,Market Average,rice,01/11/2016,16991.41,17298.23,16563.39,16563.39,NGN
Nigeria,Market Average,Market Average,rice,01/12/2016,16697.41,17009.47,16385.35,16776.87,NGN
Nigeria,Market Average,Market Average,rice,01/01/2017,16904.43,17258.96,16648.03,17258.96,NGN
Nigeria,Market Average,Market Average,rice,01/02/2017,17530.03,17813.24,17246.83,17551.71,NGN
Nigeria,Market Average,Market Average,rice,01/03/2017,17806.05,21051.05,17563.06,21051.05,NGN
Nigeria,Market Average,Market Average,rice,01/04/2017,21628.21,22490.62,19650,19650,NGN
Nigeria,Market Average,Market Average,rice,01/05/2017,19839.9,20852.49,18827.31,20000,NGN
Nigeria,Market Average,Market Average,rice,01/06/2017,19960.26,20666.44,18000,18000,NGN
Nigeria,Market Average,Market Average,rice,01/07/2017,17970.05,18815.31,17124.8,18200,NGN
Nigeria,Market Average,Market Average,rice,01/08/2017,18137.63,18733.09,17480,17480,NGN
Nigeria,Market Average,Market Average,rice,01/09/2017,17592.18,18091.02,17093.33,17505.84,NGN
Nigeria,Market Average,Market Average,rice,01/10/2017,17498.83,17863.69,17095.42,17095.42,NGN
Nigeria,Market Average,Market Average,rice,01/11/2017,17176.65,17507.53,16768.03,16768.03,NGN
Nigeria,Market Average,Market Average,rice,01/12/2017,16723.98,17040.78,16407.18,16483.45,NGN
Nigeria,Market Average,Market Average,rice,01/01/2018,16510.46,16782.66,16238.27,16560.63,NGN
Nigeria,Market Average,Market Average,rice,01/02/2018,16607.2,16838.32,16376.08,16449.78,NGN
Nigeria,Market Average,Market Average,rice,01/03/2018,16542.66,16761.97,16323.35,16542.78,NGN
Nigeria,Market Average,Market Average,rice,01/04/2018,16591.12,16794.66,16387.58,16747.61,NGN
Nigeria,Market Average,Market Average,rice,01/05/2018,16884.41,17095.34,16673.48,16720.19,NGN
Nigeria,Market Average,Market Average,rice,01/06/2018,16794.48,17008.07,16580.9,16689.59,NGN
Nigeria,Market Average,Market Average,rice,01/07/2018,16747.36,16953.98,16540.74,16608.64,NGN
Nigeria,Market Average,Market Average,rice,01/08/2018,16646.08,16852.97,16361.87,16361.87,NGN
Nigeria,Market Average,Market Average,rice,01/09/2018,16378.55,16611.58,16145.51,16375.24,NGN
Nigeria,Market Average,Market Average,rice,01/10/2018,16398.83,16607.48,16162.72,16162.72,NGN
Nigeria,Market Average,Market Average,rice,01/11/2018,16196.95,16418.68,15975.22,16038.61,NGN
Nigeria,Market Average,Market Average,rice,01/12/2018,16031.15,16243.96,15818.34,15962.15,NGN
Nigeria,Market Average,Market Average,rice,01/01/2019,15990.43,16188.85,15792.01,15893.07,NGN
Nigeria,Market Average,Market Average,rice,01/02/2019,15914.02,16108.05,15719.99,15919.33,NGN
Nigeria,Market Average,Market Average,rice,01/03/2019,15961.69,16149.3,15774.08,15915.62,NGN
Nigeria,Market Average,Market Average,rice,01/04/2019,15955.51,16141.24,15769.78,16020.01,NGN
Nigeria,Market Average,Market Average,rice,01/05/2019,16077.64,16264.93,15890.34,16056.6,NGN
Nigeria,Market Average,Market Average,rice,01/06/2019,16112.34,16298.09,15795.67,15795.67,NGN
Nigeria,Market Average,Market Average,rice,01/07/2019,15787.03,16017.92,15556.14,15808.19,NGN
Nigeria,Market Average,Market Average,rice,01/08/2019,15805.26,16009.82,15600.7,15783.41,NGN
Nigeria,Market Average,Market Average,rice,01/09/2019,15827.06,16018.62,15635.51,15826.45,NGN
Nigeria,Market Average,Market Average,rice,01/10/2019,15859.83,16053.6,15673.85,16053.6,NGN
Nigeria,Market Average,Market Average,rice,01/11/2019,16133.49,16339.99,15926.98,16060.86,NGN
Nigeria,Market Average,Market Average,rice,01/12/2019,16121.2,16318.11,15924.29,16122.68,NGN
Nigeria,Market Average,Market Average,rice,01/01/2020,16157.62,16347.99,15967.25,16034.13,NGN
Nigeria,Market Average,Market Average,rice,01/02/2020,16057.01,16321.42,15862.65,16321.42,NGN
Nigeria,Market Average,Market Average,rice,01/03/2020,16393.41,17336.66,16165.56,17336.66,NGN
Nigeria,Market Average,Market Average,rice,01/04/2020,17617.88,20331.37,17109.99,20331.37,NGN
Nigeria,Market Average,Market Average,rice,01/05/2020,20915.74,21808.55,20022.92,20631.27,NGN
Nigeria,Market Average,Market Average,rice,01/06/2020,20988.87,21626.93,20350.81,20363.93,NGN
Nigeria,Market Average,Market Average,rice,01/07/2020,20347.29,20879.64,19814.93,20370.28,NGN
Nigeria,Market Average,Market Average,rice,01/08/2020,20423.86,21112.9,20030.79,21112.9,NGN
Nigeria,Market Average,Market Average,rice,01/09/2020,21377.32,22998.05,20916.74,22998.05,NGN
Nigeria,Market Average,Market Average,rice,01/10/2020,23613.01,24508.31,22717.72,23248.41,NGN
Nigeria,Market Average,Market Average,rice,01/11/2020,23667.54,24320.11,22956.04,22956.04,NGN
Nigeria,Market Average,Market Average,rice,01/12/2020,22983.53,23552.28,22414.79,22959.2,NGN
Nigeria,Market Average,Market Average,rice,01/01/2021,23056.01,23527.5,22631.44,23527.5,NGN
